YEAR,VEHICLE,PURCHASER,DATE,DEAL
11,TOWN CAR,MANHEIM,9/13/2018,
15,EDGE,MANHEIM,10/16/2018,
15,TACOMA,MANHEIM,10/16/2018,
15,EXPLORER,MANHEIM,10/16/2018,
15,FIESTA,MANHEIM,10/16/2018,
15,FOCUS,MANHEIM,10/16/2018,
13,F150,MANHEIM,10/23/2018,
13,BMW,MANHEIM,10/16/2018,
16,EXPLORER,MANHEIM,10/23/2018,
13,F150,MANHEIM,10/23/2018,
11,F150,MANHEIM,10/31/2018,
6,MDX,MANHEIM,10/16/2018,
12,FOCUS,MANHEIM,10/16/2018,
16,F150,AUTO LEASING,12/16/2018,
10,F150,AUTO LEASING,12/16/2018,
11,F150,AUTO LEASING,12/16/2018,
16,F150,AUTO LEASING,12/16/2018,
7,SATURN,SOCKET SCRAP,1/4/2019,
5,MAZDA,SOCKET SCRAP,1/4/2019,
8,PATRIOT,SOCKET SCRAP,1/4/2019,
7,PATRIOT,SOCKET SCRAP,1/4/2019,
7,MAZDA 3,SOCKET SCRAP,1/4/2019,
8,ENCORE,ALEXANDRIA,12/31/2018,
8,MERCEDES,ALEXANDRIA,12/31/2018,
10,JOURNEY,ALEXANDRIA,12/31/2018,
8,ENCLAVE,ALEXANDRIA,12/31/2018,
10,CARAVAN,ALEXANDRIA,12/31/2018,
9,MATRIX,ALEXANDRIA,12/31/2018,
13,JETTA,ALEXANDRIA,12/31/2018,
10,TIGUAN,PRESTIGE,1/10/2019,
15,RAM 1500,PRESTIGE,1/10/2019,
13,MKX,PRESTIGE,1/10/2019,
5,ALTIMA,SOCKET SCRAP,8/22/2018,
9,ESCAPE,SOCKET SCRAP,8/22/2018,
4,FREESTYLE,SOCKET SCRAP,8/22/2018,
1,CAVALIER,SOCKET SCRAP,8/22/2018,
10,FOCUS,SOCKET SCRAP,8/22/2018,
7,COBALT,SOCKET SCRAP,10/9/2018,
98,F150,SOCKET SCRAP,10/9/2018,
11,MKX,SOCKET SCRAP,10/9/2018,
6,MALIBU,SOCKET SCRAP,10/9/2018,
8,FOCUS,SOCKET SCRAP,10/9/2018,
8,KIA,SOCKET SCRAP,10/9/2018,
13,FOCUS,ALEXANDRIA,1/21/2019,
11,CARAVAN,ALEXANDRIA,1/21/2019,
6,LUCERNE,ALEXANDRIA,1/21/2019,
10,MAZDA 3,ALEXANDRIA,1/21/2019,
10,TACOMA,ALEXANDRIA,1/21/2019,
17,RAM,PRESTIGE,1/30/2019,
14,CARAVAN,PRESTIGE,1/30/2019,
12,ALTIMA,PRESTIGE,1/30/2019,
9,CIVIC,PRESTIGE,1/30/2019,
10,CIVIC,PRESTIGE,1/30/2019,
11,VERSA,PRESTIGE,1/30/2019,
11,TRAVERSE,PRESTIGE,1/30/2019,
11,MKX,PRESTIGE,1/30/2019,
11,ROGUE,PRESTIGE,1/30/2019,
12,MKZ,PRESTIGE,1/30/2019,
11,SORENTO,PRESTIGE,1/30/2019,
13,SANTA FE,AUTO LEASING,1/25/2019,
10,EDGE,AUTO LEASING,1/25/2019,
8,ESCAPE,AUTO LEASING,1/25/2019,
11,F150,AUTO LEASING,1/25/2019,
13,F150,AUTO LEASING,1/25/2019,
13,CIVIC,AUTO LEASING,1/25/2019,
15,MKT,AUTO LEASING,1/31/2019,
20,16 SPRINTER,AUTO LEASING,12/31/2018,
17,RAM,AUTO LEASING,12/31/2018,
14,RAM 1500,AUTO LEASING,12/31/2018,
14,F150,AUTO LEASING,1/4/2019,
12,MDX,AUTO LEASING,1/4/2019,
