YEAR,VEHICLE,PURCHASER,DATE,DEAL
6,150,SOCKET SCRAP,6/7/2019,
1,TRIBUTE,SOCKET SCRAP,6/7/2019,
6,FREESTAR,SOCKET SCRAP,6/7/2019,
10,ESCAPE,SOCKET SCRAP,6/7/2019,
6,F350,SOCKET SCRAP,6/7/2019,
10,F150,SOCKET SCRAP,6/7/2019,
10,F150,SOCKET SCRAP,6/7/2019,
8,F150,SOCKET SCRAP,6/7/2019,
12,SIERRA,ALEXANDRIA,6/11/2019,
12,F150,ALEXANDRIA,6/11/2019,
10,F150,ALEXANDRIA,6/11/2019,
13,GOLF,ALEXANDRIA,6/11/2019,
13,MKZ,ALEXANDRIA,6/11/2019,
17,F150,ADESA,6/12/2019,
17,F150,ADESA,6/12/2019,
17,CONTINENTAL,ADESA,6/14/2019,
16,F250,ADESA,6/14/2019,
18,F150,ADESA,6/14/2019,
16,F150,ADESA,6/14/2019,
16,EDGE,ADESA,6/14/2019,
16,F150,ADESA,6/14/2019,
17,F150,ADESA,6/14/2019,
15,RAM 1500,TURBOX,6/12/2019,
15,EXPLORER,TURBOX,6/12/2019,
13,JETTA,ALEXANDRIA,6/18/2019,
10,ACADIA,ALEXANDRIA,6/18/2019,
10,F150,ALEXANDRIA,6/18/2019,
12,ESCAPE,ALEXANDRIA,6/18/2019,
7,FUSION,ALEXANDRIA,6/18/2019,
7,EDGE,ALEXANDRIA,6/18/2019,
13,ESCAPE,ALEXANDRIA,6/18/2019,
16,F150,ADESA,6/18/2019,
17,F150,ADESA,6/18/2019,
16,RAV4,ADESA,6/21/2019,
12,F250,ADESA,6/21/2019,
18,F150,ADESA,6/21/2019,
17,F150,ADESA,6/21/2019,
16,F150,ADESA,6/21/2019,
17,F150,ADESA,6/21/2019,
17,F150,ADESA,6/21/2019,
16,F150,ADESA,6/21/2019,
17,F150,ADESA,6/21/2019,
15,F150,ADESA,6/21/2019,
16,F150,ADESA,6/21/2019,
17,F150,ADESA,6/21/2019,
16,F150,ADESA,6/21/2019,
15,F150,ADESA,6/21/2019,
17,F150,ADESA,6/21/2019,
17,F150,ADESA,6/21/2019,
16,F150,ADESA,6/21/2019,
16,F150,ADESA,6/21/2019,
9,F150,PRESTIGE,6/20/2019,
15,F150,PRESTIGE,6/20/2019,
16,F150,PRESTIGE,6/20/2019,
17,F150,PRESTIGE,6/20/2019,
18,F150,PRESTIGE,6/20/2019,
15,VENZA,PRESTIGE,6/20/2019,
17,RANGE ROVER,PRESTIGE,6/20/2019,
17,F150,ADESA,6/24/2019,
17,F150,ADESA,6/24/2019,
15,F150,ADESA,6/24/2019,
16,F150,ADESA,6/24/2019,
15,SIERRA,AUTO LEASING,6/17/2019,
11,ESCAPE,AUTO LEASING,6/17/2019,
13,ML350,AUTO LEASING,6/17/2019,
13,F150,AUTO LEASING,6/17/2019,
13,F150,AUTO LEASING,6/17/2019,
16,F150,AUTO LEASING,6/17/2019,
15,ESCAPE,DURHAM KIA,6/27/2019,
17,ELANTRA,DURHAM KIA,6/27/2019,
12,RIO,DURHAM KIA,6/27/2019,
16,F150,AUTO LEASING,6/10/2019,
16,F150,AUTO LEASING,6/10/2019,
16,F150,AUTO LEASING,6/10/2019,
13,EDGE,AUTO LEASING,6/10/2019,
16,RAM 1500,AUTO LEASING,6/10/2019,
14,MKX,AUTO LEASING,6/10/2019,
16,TITAN,ADESA,6/25/2019,
17,F150,ADESA,6/26/2019,
17,F150,ADESA,6/28/2019,
17,F150,ADESA,6/28/2019,
17,F150,ADESA,6/28/2019,
6,RAV4,ALEXANDRIA,7/3/2019,
10,F150,ALEXANDRIA,7/3/2019,
12,TUCSON,ALEXANDRIA,7/3/2019,
15,ESCAPE,ALEXANDRIA,7/3/2019,
12,OPTIMA,ALEXANDRIA,7/3/2019,
17,F150,ADESA,7/8/2019,
17,F150,ADESA,7/8/2019,
17,F150,ADESA,7/8/2019,
16,F150,ADESA,7/8/2019,
16,TRAX,ADESA,7/8/2019,
16,F150,ADESA,7/8/2019,
12,FUSION,AUTO CONNECT,7/5/2019,D#93462
8,RANGER,AUTO CONNECT,7/5/2019,D#93465
6,X-TRAIL,AUTO CONNECT,7/5/2019,D#93476
7,F150,ALEXANDRIA,7/9/2019,
8,RANGER,ALEXANDRIA,7/9/2019,
12,F150,AUTO LEASING,6/29/2019,
10,DTS,AUTO LEASING,6/29/2019,
12,F150,AUTO LEASING,7/6/2019,
10,ESCAPE,AUTO LEASING,7/6/2019,
10,F150,AUTO LEASING,7/6/2019,
14,RAM 1500,AUTO LEASING,7/6/2019,
14,F150,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
16,EXPLORER,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
17,F150,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
17,F150,ADESA,7/12/2019,
17,F150,ADESA,7/12/2019,
18,F150,ADESA,7/12/2019,
18,F150,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
18,F150,ADESA,7/12/2019,
17,F150,ADESA,7/12/2019,
17,F150,ADESA,7/12/2019,
17,F150,ADESA,7/12/2019,
18,F150,ADESA,7/12/2019,
18,F150,ADESA,7/12/2019,
15,F150,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
16,F150,ADESA,7/12/2019,
12,F150,ALEXANDRIA,7/11/2019,
8,F150,ALEXANDRIA,7/11/2019,
4,A4,ALEXANDRIA,7/11/2019,
10,F150,ALEXANDRIA,7/11/2019,
5,MUSTANG,ALEXANDRIA,7/11/2019,
13,ACCORD,TRADEREV,7/11/2019,
15,BMW X5,TRADEREV,7/11/2019,
14,TOUAREG,TRADEREV,7/11/2019,
17,TACOMA,TURBOX,7/10/2019,
15,EVOGUE,TURBOX,7/10/2019,
16,TACOMA,TURBOX,7/10/2019,
15,F150,TURBOX,7/10/2019,
16,F150,TURBOX,7/10/2019,
17,F150,TURBOX,7/10/2019,
13,F150,TURBOX,7/10/2019,
17,CIVIC,TURBOX,7/10/2019,
17,F150,TURBOX,7/10/2019,
17,F150,TURBOX,7/10/2019,
13,DART,TURBOX,7/10/2019,
17,F150,TURBOX,7/10/2019,
17,F150,TURBOX,7/10/2019,
16,F150,ADESA,7/15/2019,
16,F150,ADESA,7/15/2019,
16,F150,ADESA,7/15/2019,
17,F150,ADESA,7/15/2019,
13,ROGUE,ALEXANDRIA,7/17/2019,
14,FOCUS,ALEXANDRIA,7/17/2019,
13,F150,ALEXANDRIA,7/17/2019,
8,RAM 1500,ALEXANDRIA,7/17/2019,
5,LEGACY,ALEXANDRIA,7/17/2019,
14,FOCUS,AUTO LEASING,7/16/2019,
13,EDGE,AUTO LEASING,7/16/2019,
10,F150,AUTO LEASING,7/16/2019,
16,ESCAPE,AUTO LEASING,7/16/2019,
12,F150,AUTO LEASING,7/16/2019,
12,JOURNEY,AUTO LEASING,7/16/2019,
11,F150,AUTO LEASING,7/16/2019,
15,WRANGLER,ALEXANDRIA,7/18/2019,
15,BMW X4,TRADEREV,7/11/2019,
11,ALTIMA,TRADEREV,7/15/2019,
99,YUKON,TRADEREV,7/18/2019,
7,EQUINOX,TRADEREV,7/18/2019,
17,SAVANA,ADESA,7/19/2019,
18,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
14,F150,ADESA,7/19/2019,
17,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
17,F150,ADESA,7/19/2019,
18,F150,ADESA,7/19/2019,
17,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
17,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
17,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
17,F150,ADESA,7/19/2019,
17,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
15,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
16,F150,ADESA,7/19/2019,
17,F150,ADESA,7/19/2019,
18,F150,ADESA,7/19/2019,
11,BMW X5,ALEXANDRIA,7/19/2019,
14,EDGE,ALEXANDRIA,7/19/2019,
12,EXPLORER,ALEXANDRIA,7/19/2019,
10,AUDI A6,ALEXANDRIA,7/19/2019,
8,RANGER,ALEXANDRIA,7/19/2019,
8,ESCAPE,ALEXANDRIA,7/19/2019,
11,ESCAPE,ALEXANDRIA,7/19/2019,
18,CAMARO,TURBOX,-,
17,F150,ADESA,7/24/2019,
9,SANTA FE,AUTO LEASING,7/19/2019,
13,SANTA FE,AUTO LEASING,7/19/2019,
13,EDGE,AUTO LEASING,7/19/2019,
13,SANTA FE,AUTO LEASING,7/19/2019,
8,BMW,TRADEREV,7/23/2019,
7,GL450,TRADEREV,7/18/2019,
13,FUSION,TRADEREV,7/15/2019,
12,F150,DURHAM KIA,7/18/2019,
16,F150,DURHAM KIA,7/18/2019,
13,FUSION,TRADEREV,7/18/2019,
16,F150,TURBOX,6/4/2019,
16,F150,TURBOX,7/16/2019,
16,F150,TURBOX,7/16/2019,
16,F150,TURBOX,7/13/2019,
15,SRX,TURBOX,7/13/2019,
15,SIERRA,TURBOX,7/13/2019,
16,F150,TURBOX,6/4/2019,
16,F150,TURBOX,6/4/2019,
17,F250,TURBOX,6/4/2019,
16,MKX,ADESA,7/26/2019,
11,F150,ADESA,7/26/2019,
14,F150,ADESA,7/26/2019,
16,F150,ADESA,7/26/2019,
17,F250,ADESA,7/26/2019,
17,F150,ADESA,7/26/2019,
14,528I,ADESA,7/26/2019,
18,F150,ADESA,7/26/2019,
17,EXPLORER,ADESA,7/26/2019,
16,F150,ADESA,7/26/2019,
15,EDGE,ADESA,7/26/2019,
17,F150,ADESA,7/26/2019,
16,CIVIC,TRADEREV,7/25/2019,
11,ESCAPE,TRADEREV,7/25/2019,94765
14,TIGUAN,TRADEREV,7/25/2019,
16,EXPLORER,ADESA,7/29/2019,
11,SOUL,TRADEREV,7/29/2019,94667
16,RAM 1500,AUTO LEASING,7/29/2019,
10,E450,AUTO LEASING,7/29/2019,
8,MKX,AUTO LEASING,7/29/2019,
9,F150,AUTO LEASING,7/29/2019,
13,F150,AUTO LEASING,7/29/2019,
14,F150,AUTO LEASING,7/30/2019,
16,F150,AUTO LEASING,7/30/2019,
14,T&C,AUTO LEASING,7/30/2019,
14,ACCORD,AUTO LEASING,7/30/2019,
13,F150,AUTO LEASING,7/30/2019,
11,RAM 1500,AUTO LEASING,7/31/2019,
14,ESCAPE,AUTO LEASING,7/31/2019,
13,FIAT 500,ALEXANDRIA,8/1/2019,94635
14,OUTBACK,ALEXANDRIA,8/1/2019,94636
14,ESCAPE,ALEXANDRIA,8/1/2019,94637
11,F250,ALEXANDRIA,8/1/2019,94641
16,MKX,ADESA,8/2/2019,
16,F250,ADESA,8/2/2019,
18,F150,ADESA,8/2/2019,
18,F150,ADESA,8/2/2019,
18,F150,ADESA,8/2/2019,
16,F150,ADESA,8/2/2019,
17,F150,ADESA,8/2/2019,
16,F150,ADESA,8/2/2019,
16,F150,ADESA,8/2/2019,
18,F150,ADESA,8/2/2019,
17,F150,ADESA,8/2/2019,
17,F150,ADESA,8/2/2019,
17,F150,ADESA,8/2/2019,
18,F150,ADESA,8/2/2019,
16,EDGE,ADESA,8/2/2019,
17,CONTINENTAL,ADESA,8/2/2019,
19,SILVERADO,ADESA,8/2/2019,
16,F150,ADESA,8/2/2019,
16,F150,ADESA,8/2/2019,
17,F150,ADESA,8/2/2019,
16,F150,ADESA,8/2/2019,
18,F150,ADESA,8/2/2019,
5,FOCUS,NOORANBAKHT,8/6/2019,
5,CIVIC,NOORANBAKHT,8/6/2019,
13,F150,DURHAM KIA,8/8/2019,94649
15,TRANSIT,DURHAM KIA,8/8/2019,94648
16,F150,DURHAM KIA,8/8/2019,94646
17,F150,DURHAM KIA,8/8/2019,94644
11,ESCAPE,TRADEREV,8/1/2019,94668
15,EQUINOX,TRADEREV,7/29/2019,94669
12,FOCUS,TRADEREV,7/29/2019,94777
11,RONDO,TRADEREV,7/30/2019,94685
14,TIGUAN,TRADEREV,7/25/2019,94670
13,F150,TRADEREV,8/8/2019,94763
16,CX5,TRADEREV,7/18/2019,94766
10,TACOMA,TRADEREV,8/1/2019,94671
15,CHEROKEE,AUTO LEASING,8/6/2019,94676
15,LACROSSE,AUTO LEASING,8/6/2019,94675
17,F150,AUTO LEASING,8/6/2019,94674
16,F150,ADESA,8/8/2019,94805
16,F150,ADESA,8/8/2019,94806
17,F150,ADESA,8/8/2019,94807
16,F150,ADESA,8/9/2019,94810
18,F150,ADESA,8/9/2019,94808
18,F150,ADESA,8/9/2019,94809
15,ESCAPE,PRESTIGE,8/9/2019,94796
12,TACOMA,PRESTIGE,8/9/2019,94799
14,E250,PRESTIGE,8/9/2019,94795
13,F150,PRESTIGE,8/9/2019,94798
12,AUDI Q5,PRESTIGE,8/9/2019,94797
16,CIVIC,PRESTIGE,8/9/2019,94800
17,F150,ADESA,8/12/2019,94804
12,CARAVAN,STAFFORD,7/12/2019,
9,MALIBU,TRADEREV,8/8/2019,94822
10,PONTIAC G5,ALEXANDRIA,8/12/2019,94844
11,CRUZE,ALEXANDRIA,8/12/2019,94845
11,EDGE,ALEXANDRIA,8/12/2019,94846
10,JOURNEY,ALEXANDRIA,8/12/2019,94847
14,CHEROKEE,ALEXANDRIA,8/12/2019,94848
8,TRIBUTE,ALEXANDRIA,8/12/2019,94849
8,CIVIC,ALEXANDRIA,8/12/2019,94850
8,F150,ALEXANDRIA,8/12/2019,94851
17,F150,ADESA,8/13/2019,94853
18,EXPEDITION,TURBOX,7/31/2019,
16,MKX,ADESA,8/16/2019,94900
13,ECONOLINE,ADESA,8/16/2019,94893
15,F150,ADESA,8/16/2019,94904
14,F150,ADESA,8/16/2019,94891
16,EXPLORER,ADESA,8/16/2019,94885
17,F150,ADESA,8/16/2019,94907
17,F150,ADESA,8/16/2019,94895
18,F150,ADESA,8/16/2019,94896
15,ESCAPE,ADESA,8/16/2019,94892
18,F150,ADESA,8/16/2019,94901
17,F250,ADESA,8/16/2019,94884
17,F250,ADESA,8/16/2019,94883
17,F150,ADESA,8/16/2019,94902
17,F150,ADESA,8/16/2019,94881
17,F150,ADESA,8/16/2019,94903
16,F150,ADESA,8/16/2019,94882
16,F150,ADESA,8/16/2019,94906
17,EXPLORER,ADESA,8/16/2019,94889
16,F150,ADESA,8/16/2019,94888
17,F150,ADESA,8/16/2019,94890
16,F150,ADESA,8/16/2019,94898
17,EXPLORER,ADESA,8/16/2019,94887
15,F150,ADESA,8/16/2019,94899
16,F150,ADESA,8/16/2019,94897
17,F150,ADESA,8/16/2019,94908
16,F150,ADESA,8/16/2019,94905
16,F150,ADESA,8/16/2019,94894
17,F150,ADESA,8/16/2019,94886
15,EDGE,TURBOX,8/16/2019,95001
15,EDGE,TURBOX,8/16/2019,95002
15,ESCAPE,TURBOX,8/15/2019,95003
17,EXPLORER,TURBOX,8/15/2019,95004
15,EDGE,TURBOX,8/16/2019,95005
3,ODYSSEY,TRADEREV,8/13/2019,95008
13,FOCUS,TRADEREV,8/16/2019,95009
17,PASSAT,TRADEREV,8/15/2019,94909
12,FOCUS,TRADEREV,7/29/2019,94777
15,MAZDA 3,TRADEREV,8/16/2019,95061
16,F150,ADESA,8/21/2019,95201
16,F150,ADESA,8/21/2019,95202
17,F150,ADESA,8/21/2019,95203
16,F150,ADESA,8/23/2019,95204
18,F150,ADESA,8/23/2019,95205
17,F150,ADESA,8/23/2019,95207
16,F150,ADESA,8/23/2019,95208
17,EXPLORER,ADESA,8/23/2019,95209
15,EXPEDITION,ADESA,8/23/2019,95210
18,F150,ADESA,8/23/2019,95211
17,EXPLORER,ADESA,8/23/2019,95212
16,F150,ADESA,8/23/2019,95213
15,ESCAPE,ADESA,8/23/2019,95214
15,ESCAPE,ADESA,8/23/2019,95215
15,ESCAPE,ADESA,8/23/2019,95216
16,F150,ADESA,8/23/2019,95218
17,ESCAPE,ADESA,8/23/2019,95219
17,ESCAPE,ADESA,8/23/2019,95220
16,MKC,ADESA,8/23/2019,95221
17,F150,ADESA,8/23/2019,95222
16,F150,ADESA,8/23/2019,95223
16,F150,ADESA,8/23/2019,95224
16,F150,ADESA,8/23/2019,95225
17,F150,ADESA,8/23/2019,95226
16,F150,ADESA,8/23/2019,95227
17,ESCAPE,ADESA,8/23/2019,95228
17,F150,SCARSVIEW,,
16,F150,SCARSVIEW,,
16,F150,SCARSVIEW,,
16,F150,SCARSVIEW,,
16,F150,SCARSVIEW,,
15,ESCAPE,ADESA,8/26/2019,95229
11,FOCUS, S&D MOTOR,9/10/2019,95251
16,CRV,S&D MOTOR,9/10/2019,95252
9,BMW 328I,S&D MOTOR,9/10/2019,95253
10,MAZDA 3,S&D MOTOR,9/10/2019,95254
12,RIDGELINE,S&D MOTOR,9/10/2019,95255
12,PILOT,S&D MOTOR,9/10/2019,95256
14,TRAX,S&D MOTOR,9/10/2019,95257
10,F150,ALEXANDRIA,8/25/2019,
13,MKX,ALEXANDRIA,8/25/2019,
8,SILVERADO,ALEXANDRIA,8/25/2019,
9,F150,ALEXANDRIA,8/25/2019,
7,SANTA FE,ALEXANDRIA,8/25/2019,
8,RANGER,ALEXANDRIA,8/25/2019,
7,SUZUKI SX4,ALEXANDRIA,8/25/2019,
6,ODYSSEY,ALEXANDRIA,8/25/2019,
6,TUCSON,ALEXANDRIA,8/25/2019,
10,COMPASS,ALEXANDRIA,8/25/2019,
11,F150,ALEXANDRIA,8/25/2019,
14,EXPRESS,TRADEREV,8/22/2019,95356
5,ECONOLINE,TRADEREV,8/22/2019,95351
5,F150,TRADEREV,8/22/2019,95352
13,AUDI A4,TRADEREV,8/22/2019,95353
10,EDGE,TRADEREV,8/28/2019,95488
9,COLORADO,ALEXANDRIA,9/3/2019,95473
9,VIBE,ALEXANDRIA,9/3/2019,95474
9,TUCSON,ALEXANDRIA,9/3/2019,95475
8,CIVIC,ALEXANDRIA,9/3/2019,95476
11,OUTBACK,ALEXANDRIA,9/3/2019,95477
13,ODYSSEY,ALEXANDRIA,9/3/2019,95478
14,FUSION,TRADEREV,8/16/2019,95354
12,MAZDA 6,TRADEREV,8/19/2019,95355
16,FLEX,TRADEREV,8/9/2019,95357
17,CIVIC,TRADEREV,8/19/2019,95358
17,F150,TURBOX,8/27/2019,95359
16,MKX,ADESA,8/28/2019,95492
17,F150,ADESA,8/28/2019,95494
18,F150,ADESA,8/28/2019,95493
16,MKX,ADESA,8/30/2019,95535
14,EDGE,ADESA,8/30/2019,95536
17,F150,ADESA,8/30/2019,95506
17,F150,ADESA,8/30/2019,95502
16,EDGE,ADESA,8/30/2019,95537
18,F150,ADESA,8/30/2019,95538
16,F150,ADESA,8/30/2019,95509
18,F150,ADESA,8/30/2019,95539
16,F150,ADESA,8/30/2019,95507
16,F150,ADESA,8/30/2019,95508
17,F150,ADESA,8/30/2019,95505
16,F150,ADESA,8/30/2019,95504
17,F150,ADESA,8/30/2019,95503
16,F150,ADESA,8/30/2019,95496
17,F150,ADESA,8/30/2019,95501
17,F150,ADESA,8/30/2019,95500
16,F150,ADESA,8/30/2019,95499
17,F150,ADESA,8/30/2019,95498
18,F150,ADESA,8/30/2019,95497
16,WRANGLER,TRADEREV,,
16,F350,ADESA,9/6/2019,95638
16,F150,ADESA,9/6/2019,95639
16,F150,ADESA,9/6/2019,95640
17,F150,ADESA,9/6/2019,95641
16,F150,ADESA,9/6/2019,95495
16,TITAN,ADESA,9/6/2019,95642
18,F150,ADESA,9/6/2019,95643
17,F150,ADESA,9/6/2019,95644
16,F150,ADESA,9/6/2019,95645
18,F150,ADESA,9/6/2019,95646
16,F150,ADESA,9/6/2019,95647
18,F150,ADESA,9/6/2019,95648
16,F150,ADESA,9/6/2019,95649
15,F150,ADESA,9/6/2019,95650
18,F150,ADESA,9/6/2019,95651
17,F150,ADESA,9/6/2019,95652
17,F150,ADESA,9/6/2019,95653
16,F150,ADESA,9/6/2019,95654
17,F150,ADESA,9/6/2019,95655
16,F150,ADESA,9/6/2019,95656
17,F150,ADESA,9/6/2019,95657
16,C300,TURBOX,,
17,F150,AUTO LEASING,8/19/2019,
16,F150,AUTO LEASING,8/19/2019,
13,JETTA,AUTO LEASING,8/19/2019,
13,ECONOLINE,AUTO LEASING,8/19/2019,
13,ECONOLINE,AUTO LEASING,8/19/2019,
13,F150,AUTO LEASING,8/19/2019,
12,MKX,AUTO LEASING,8/19/2019,
10,F150,AUTO LEASING,8/19/2019,
14,FOCUS,AUTO LEASING,8/19/2019,
99,EXPLORER,SOCKET SCRAP,8/31/2019,
5,CIVIC,SOCKET SCRAP,8/31/2019,
10,FOCUS,SOCKET SCRAP,8/31/2019,
7,SATURN,SOCKET SCRAP,8/31/2019,
6,MAZDA M3I,SOCKET SCRAP,8/31/2019,
10,F150,SOCKET SCRAP,8/31/2019,
0,CAMRY,SOCKET SCRAP,8/31/2019,
5,ECONO,SOCKET SCRAP,8/31/2019,
17,F150,DURHAM KIA,,95892
17,WRANGLER,SCARSVIEW,,
10,RAV4,ALEXANDRIA,9/10/2019,95893
9,RAV4,ALEXANDRIA,9/10/2019,95894
9,RANGER,ALEXANDRIA,9/10/2019,95895
4,SIENNA,ALEXANDRIA,9/10/2019,95896
7,EXPLORER,ALEXANDRIA,9/10/2019,95897
2,MUSTANG,ALEXANDRIA,9/10/2019,95898
8,EDGE,ALEXANDRIA,9/10/2019,95899
16,SANTA FE,PRESTIGE,9/18/2019,95941
11,BMW X5,PRESTIGE,9/18/2019,95942
17,RAV4,PRESTIGE,9/18/2019,95944
16,F150,PRESTIGE,9/18/2019,95943
16,HIGHLANDER,PRESTIGE,9/18/2019,95945
10,F150,PRESTIGE,9/18/2019,95949
13,SENTRA,PRESTIGE,9/18/2019,95950
16,MAZDA 3,PRESTIGE,9/18/2019,95948
18,F150,ADESA,9/17/2019,95916
16,F150,ADESA,9/17/2019,95917
18,F150,ADESA,9/17/2019,95918
17,F150,ADESA,9/17/2019,95919
18,F150,ADESA,9/13/2019,95920
18,F150,ADESA,9/13/2019,95921
18,F150,ADESA,9/13/2019,95922
17,F150,ADESA,9/13/2019,95923
16,F150,ADESA,9/13/2019,95924
18,F250,ADESA,9/13/2019,95925
17,F150,ADESA,9/13/2019,95926
17,F150,ADESA,9/13/2019,95927
17,F150,ADESA,9/13/2019,95928
18,F150,ADESA,9/13/2019,95929
17,F150,ADESA,9/13/2019,95930
17,F150,ADESA,9/13/2019,95931
18,F150,ADESA,9/13/2019,95932
17,F150,ADESA,9/13/2019,95933
17,F150,ADESA,9/13/2019,95934
17,F150,ADESA,9/13/2019,95935
17,F150,ADESA,9/13/2019,95936
16,F150,ADESA,9/13/2019,95937
17,F150,ADESA,9/13/2019,95938
17,F150,ADESA,9/13/2019,95939
16,F150,ADESA,9/9/2019,95987
5,RAM 1500,ALEXANDRIA,9/17/2019,96003
8,NITRO,ALEXANDRIA,9/17/2019,96002
9,ELANTRA,ALEXANDRIA,9/17/2019,96001
5,FRONTIER,ALEXANDRIA,9/17/2019,96000
13,IMPREZA,ALEXANDRIA,9/17/2019,95998
10,F150,ALEXANDRIA,9/17/2019,95999
12,ACCORD,ALEXANDRIA,9/17/2019,95997
11,CRV,ALEXANDRIA,9/17/2019,95996
12,F150,AUTO LEASING,8/30/2019,96015
14,F150,AUTO LEASING,8/30/2019,96018
18,CAMRY,AUTO LEASING,9/16/2019,96019
14,SANTA FE,AUTO LEASING,9/16/2019,96020
13,F150,AUTO LEASING,9/16/2019,96021
15,FUSIONS,ADESA,9/20/2019,96054
16,EDGE,ADESA,9/20/2019,96055
17,F150,ADESA,9/20/2019,96056
17,F150,ADESA,9/20/2019,96057
16,F150,ADESA,9/20/2019,96058
17,EXPLORER,ADESA,9/20/2019,96059
17,F150,ADESA,9/20/2019,96060
17,F150,ADESA,9/20/2019,96061
15,ESCAPE,ADESA,9/20/2019,96062
15,EXSCAPE,ADESA,9/20/2019,96063
16,F150,ADESA,9/20/2019,96064
16,EDGE,ADESA,9/20/2019,96065
18,EDGE,ADESA,9/20/2019,96066
18,F150,ADESA,9/20/2019,96067
18,F150,ADESA,9/20/2019,96068
18,F150,ADESA,9/20/2019,96069
16,F150,ADESA,9/20/2019,96070
17,F150,ADESA,9/20/2019,96071
16,EDGE,ADESA,9/20/2019,96072
18,F150,ADESA,9/20/2019,96073
17,F150,ADESA,9/20/2019,96074
16,F150,ADESA,9/20/2019,96075
16,F150,ADESA,9/20/2019,96076
15,ESCAPE,ADESA,9/20/2019,96077
10,JOURNEY,TRADEREV,9/10/2019,96133
7,F150,TRADEREV,9/19/2019,96134
10,ROGUE,TRADEREV,9/19/2019,96135
15,MURANO,TRADEREV,9/16/2019,96136
16,WRANGLER,TRADEREV,8/26/2019,96137
19,ELANTRA,TRADEREV,9/6/2019,96138
13,F150,TRADEREV,9/9/2019,96139
13,F150,TRADEREV,9/9/2019,96140
16,CHEROKEE,TRADEREV,9/6/2019,96141
15,EDGE,TURBOX,8/16/2019,95005
17,EXPLORER,TURBOX,8/15/2019,95004
17,F150,TURBOX,7/13/2019,
16,F150,TURBOX,8/8/2019,
16,F150,TURBOX,8/8/2019,
16,EDGE,TURBOX,8/8/2019,
15,EDGE,TURBOX,8/8/2019,
16,FUSION,TURBOX,8/8/2019,
16,EDGE,TURBOX,8/8/2019,
17,F150,TURBOX,8/8/2019,
17,EDGE,TURBOX,8/8/2019,
16,F150,TURBOX,8/26/2019,
17,F150,TURBOX,8/26/2019,
16,F150,TURBOX,8/26/2019,
17,F150,TURBOX,8/26/2019,
17,EXPLORER,ADESA,9/23/2019,96162
11,PATRIOT,ALEXANDRIA,9/23/2019,96192
8,T&C,ALEXANDRIA,9/23/2019,96193
12,SILVERADO,ALEXANDRIA,9/23/2019,96194
10,CAMARO,ALEXANDRIA,9/23/2019,96195
7,VOLVO S60,ALEXANDRIA,9/23/2019,96196
14,CARAVAN,ALEXANDRIA,9/23/2019,96197
14,Q50,AUTO LEASING,9/23/2019,
14,FOCUS,AUTO LEASING,9/23/2019,
13,ESCAPE,AUTO LEASING,9/23/2019,
14,FOCUS,AUTO LEASING,9/23/2019,
12,FIESTA,AUTO LEASING,9/23/2019,
18,F150,ADESA,9/27/2019,
18,MKX,ADESA,9/27/2019,
17,F150,ADESA,9/27/2019,
15,EDGE,ADESA,9/27/2019,
17,F150,ADESA,9/27/2019,
18,F150,ADESA,9/27/2019,
17,F150,ADESA,9/27/2019,
15,ESCAPE,ADESA,9/27/2019,
17,ESCAPE,ADESA,9/27/2019,
17,ESCAPE,ADESA,9/27/2019,
17,ESCAPE,ADESA,9/27/2019,
14,MAZDA 3,TRADEREV,9/26/2019,96439
10,SILVERADO,TRADEREV,9/30/2019,96460
12,SEQUOIA,TAB,9/27/2019,
16,F150,TURBOX,,96555
17,F150,TURBOX,,96554
16,F150,TURBOX,,96553
17,F150,TURBOX,,96552
16,F150,TURBOX,,96551
17,F150,TURBOX,,96550
13,EXPLORER,AUTO LEASING,9/30/2019,96568
16,CHEROKEE,AUTO LEASING,9/30/2019,96567
17,F150,ADESA,10/2/2019,96576
15,MKC,ADESA,10/1/2019,96575
17,F150,ADESA,10/1/2019,96574
14,ESCAPE,ADESA,9/30/2019,96573
16,MKX,ADESA,9/30/2019,96572
13,CARAVAN,TRADEREV,10/4/2019,96586
9,ESCAPE,TRADEREV,10/3/2019,96585
8,SANTA FE,TRADEREV,10/3/2019,96584
11,SPRINTER,TRADEREV,10/3/2019,96583
15,SONATA,TRADEREV,10/3/2019,96582
14,F150,TRADEREV,9/26/2019,96581
15,F150,TRADEREV,9/19/2019,96580
